;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
127;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
128;Auctions;##############################;;;;;;;;
129;Auctions;##############################;;;;;;;;
130;Auctions;Order;lvmh;seller;1.0;L;B;100.0;0.0;-1.0
131;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
132;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
133;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
134;Auctions;##############################;;;;;;;;
135;Auctions;##############################;;;;;;;;
136;Auctions;##############################;;;;;;;;
137;Auctions;##############################;;;;;;;;
138;Auctions;##############################;;;;;;;;
139;Auctions;##############################;;;;;;;;
140;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
141;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;19.0;2.0
142;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
143;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
144;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
145;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
146;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
147;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
148;Auctions;##############################;;;;;;;;
149;Auctions;##############################;;;;;;;;
150;Auctions;Order;lvmh;seller;1.0;L;B;100.0;0.0;-1.0
151;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
152;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
153;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
154;Auctions;##############################;;;;;;;;
155;Auctions;##############################;;;;;;;;
156;Auctions;##############################;;;;;;;;
157;Auctions;##############################;;;;;;;;
158;Auctions;##############################;;;;;;;;
159;Auctions;##############################;;;;;;;;
160;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
161;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;19.0;2.0
162;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
163;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
164;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
165;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
166;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
167;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
168;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
169;Auctions;##############################;;;;;;;;
170;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
171;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
172;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
173;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
174;Auctions;##############################;;;;;;;;
175;Auctions;##############################;;;;;;;;
176;Auctions;##############################;;;;;;;;
177;Auctions;##############################;;;;;;;;
178;Auctions;##############################;;;;;;;;
179;Auctions;##############################;;;;;;;;
180;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
181;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;19.0;2.0
182;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
183;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
184;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
185;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
186;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
187;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
188;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
189;Auctions;##############################;;;;;;;;
190;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
191;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
192;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
193;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
194;Auctions;##############################;;;;;;;;
195;Auctions;##############################;;;;;;;;
196;Auctions;##############################;;;;;;;;
197;Auctions;##############################;;;;;;;;
198;Auctions;##############################;;;;;;;;
199;Auctions;##############################;;;;;;;;
200;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;0.0;3.0
201;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;19.0;2.0
202;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
203;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
204;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
205;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
206;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
207;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
208;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
209;Auctions;##############################;;;;;;;;
210;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2225.0;-1.0
211;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
212;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
213;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
214;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
215;Auctions;##############################;;;;;;;;
216;Auctions;##############################;;;;;;;;
217;Auctions;##############################;;;;;;;;
218;Auctions;##############################;;;;;;;;
219;Auctions;##############################;;;;;;;;
220;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;0.0;3.0
221;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;19.0;2.0
222;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
223;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
224;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
225;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
226;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
227;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
228;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
229;Auctions;##############################;;;;;;;;
230;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2225.0;-1.0
231;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
232;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
233;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
234;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
235;Auctions;##############################;;;;;;;;
236;Auctions;##############################;;;;;;;;
237;Auctions;##############################;;;;;;;;
238;Auctions;##############################;;;;;;;;
239;Auctions;##############################;;;;;;;;
240;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;0.0;2.0
241;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
242;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
