;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;return;volatility_return
54;Tick;55;lvmh;0.15;0.148;0.15;0;0.32696816325187683;128136;0.0;0.13964678186910717
55;Tick;56;lvmh;0.15;0.148;0.15;0;0.32647982239723206;128136;0.0;0.13838291947496895
56;Tick;57;lvmh;0.15;0.148;0.15;0;0.32591935992240906;128136;0.0;0.13715275193592272
57;Tick;58;lvmh;0.15;0.148;0.15;0;0.32529446482658386;128136;0.0;0.13595480867345336
58;Tick;59;lvmh;0.15;0.148;0.15;0;0.32461288571357727;128136;0.0;0.13478770739394078
59;Tick;60;lvmh;0.15;0.148;0.15;0;0.32388046383857727;128136;0.0;0.1336501473913039
60;Tick;61;lvmh;0.15;0.148;0.15;0;0.32310351729393005;128136;0.0;0.1325409034601244
61;Tick;62;lvmh;0.15;0.148;0.15;0;0.32228702306747437;128136;0.0;0.13145882035457018
62;Tick;63;lvmh;0.15;0.148;0.15;0;0.32143518328666687;128136;0.0;0.13040280773623794
63;Tick;64;lvmh;0.15;0.148;0.15;0;0.32055261731147766;128136;0.0;0.12937183556073933
64;Tick;65;lvmh;0.15;0.148;0.15;0;0.319642573595047;128136;0.0;0.12836492985872514
65;Tick;66;lvmh;0.15;0.148;0.15;0;0.3187090754508972;128136;0.0;0.12738116887210385
66;Tick;67;lvmh;0.15;0.148;0.15;0;0.3177544176578522;128136;0.0;0.1264196795106632
67;Tick;68;lvmh;0.15;0.148;0.15;0;0.3167817294597626;128136;0.0;0.12547963409816543
68;Tick;69;lvmh;0.15;0.148;0.15;0;0.31579312682151794;128136;0.0;0.12456024738038514
69;Tick;70;lvmh;0.15;0.148;0.15;0;0.3147912323474884;128136;0.0;0.12366077377053565
70;Tick;71;lvmh;0.15;0.148;0.15;0;0.31377825140953064;128136;0.0;0.12278050481014563
71;Tick;72;lvmh;0.15;0.148;0.15;0;0.31275492906570435;128136;0.0;0.12191876682575145
72;Tick;73;lvmh;0.15;0.148;0.15;0;0.31172415614128113;128136;0.0;0.12107491876381611
73;Tick;74;lvmh;0.15;0.148;0.15;0;0.3106864094734192;128136;0.0;0.12024835018806833
74;Tick;75;lvmh;0.15;0.148;0.15;0;0.3096435070037842;128136;0.0;0.11943847942506441
75;Tick;76;lvmh;0.15;0.148;0.15;0;0.3085971176624298;128136;0.0;0.11864475184518045
76;Tick;77;lvmh;0.15;0.148;0.15;0;0.30754736065864563;128136;0.0;0.11786663826750154
77;Tick;78;lvmh;0.15;0.148;0.15;0;0.3064955472946167;128136;0.0;0.1171036334781955
78;Tick;79;lvmh;0.15;0.148;0.15;0;0.30544301867485046;128136;0.0;0.11635525485294576
79;Tick;80;lvmh;0.15;0.148;0.15;0;0.30439069867134094;128136;0.0;0.11562104107492727
80;Tick;81;lvmh;0.15;0.148;0.15;0;0.3033382296562195;128136;0.0;0.11490055094058348
81;Tick;82;lvmh;0.15;0.148;0.15;0;0.3022878170013428;128136;0.0;0.11419336224619347
82;Tick;83;lvmh;0.15;0.148;0.15;0;0.3012387752532959;128136;0.0;0.11349907074884132
83;Tick;84;lvmh;0.15;0.148;0.15;0;0.3001919984817505;128136;0.0;0.1128172891959952
84;Tick;85;lvmh;0.15;0.148;0.15;0;0.2991483509540558;128136;0.0;0.11214764641839496
85;Tick;86;lvmh;0.15;0.148;0.15;0;0.2981084883213043;128136;0.0;0.11148978648143074
86;Tick;87;lvmh;0.15;0.148;0.15;0;0.2970718443393707;128136;0.0;0.11084336789060881
87;Tick;88;lvmh;0.15;0.148;0.148;45;0.2960395812988281;128181;0.013333359733223915;0.1102080628470733
88;Tick;89;lvmh;0.15;0.148;0.148;0;0.2948005497455597;128181;0.0;0.10961263598990231
89;Tick;90;lvmh;0.15;0.148;0.148;81;0.2935737669467926;128262;0.0;0.10899823684932891
90;Tick;91;lvmh;0.15;0.148;0.148;68;0.29235950112342834;128330;0.0;0.10839405356033108
91;Tick;92;lvmh;0.15;0.148;0.148;0;0.29115819931030273;128330;0.0;0.10779980615148461
92;Tick;93;lvmh;0.15;0.148;0.148;0;0.28996866941452026;128330;0.0;0.10721522527564888
93;Tick;94;lvmh;0.15;0.148;0.148;73;0.2887919545173645;128403;0.0;0.10664005169722743
94;Tick;95;lvmh;0.15;0.148;0.148;0;0.2876271903514862;128403;0.0;0.10607403580934302
95;Tick;96;lvmh;0.15;0.14;0.14;8997;0.28647446632385254;137400;0.05405406281352043;0.1055169371788935
96;Tick;97;lvmh;0.15;0.14;0.14;0;0.28496620059013367;137400;0.0;0.1051831084628122
97;Tick;98;lvmh;0.15;0.14;0.14;0;0.2834819555282593;137400;0.0;0.10464132137876767
98;Tick;99;lvmh;0.141;0.14;0.14;23;0.2820204496383667;137423;0.0;0.10410782053126429
99;Tick;100;lvmh;0.141;0.14;0.14;0;0.28058168292045593;137423;0.0;0.10358239684395797
100;Tick;101;lvmh;0.151;0.14;0.151;30;0.27916455268859863;137453;-0.0785713717341423;0.10306484855180911
101;Tick;102;lvmh;0.151;0.14;0.151;0;0.2784062623977661;137453;0.0;0.10276306521494734
102;Tick;103;lvmh;0.151;0.14;0.151;0;0.2776485085487366;137453;0.0;0.10226054633465836
103;Tick;104;lvmh;0.151;0.14;0.151;0;0.2768910825252533;137453;0.0;0.10176532744759786
104;Tick;105;lvmh;0.151;0.14;0.151;0;0.2761356830596924;137453;0.0;0.10127723352247615
